Status,Furnished_status,neworold,type_of_building,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,price
Under Construction,,New Property,Flat,1350,28.60885,77.46056,3,3,,,2,5600000
Ready to Move,Semi-Furnished,New Property,Flat,1490,28.37423557,76.95241631,3,3,,,2,8800000
Ready to Move,Unfurnished,New Property,Flat,2385,28.645769,77.38511,4,5,,1,,16500000
,Unfurnished,New Property,Flat,1050,28.566914,77.436434,2,2,3,1,2,3810000
Ready to Move,,Resale,Flat,1350,28.520732,77.356491,2,2,3,1,3,6200000
Ready to Move,,New Property,Flat,1150,28.62804,77.437809,2,2,3,,,3700000
Ready to Move,,Resale,Flat,890,28.610645,77.455837,2,2,3,1,2,3270000
Ready to Move,,Resale,Flat,850,28.471233,76.969597,2,2,1,1,,3990000
Ready to Move,,Resale,Flat,960,28.5814311,77.4528192,2,2,2,,,3500000
Ready to Move,,Resale,Flat,1400,28.614181,77.427713,3,3,4,1,2,5500000
Ready to Move,Semi-Furnished,New Property,Flat,850,28.72407532,77.09558105,3,2,1,2,1,7300000
Ready to Move,,Resale,Flat,1250,28.436305,77.13605,2,2,2,,,7700000
Ready to Move,Unfurnished,Resale,Flat,1615,28.51313972,77.0259552,3,3,3,,,10500000
Ready to Move,,Resale,Flat,1200,28.50746138,77.40781667,2,2,3,,,7200000
Ready to Move,,Resale,Flat,1690,28.679009,77.34929514,3,3,,,,7000000
Ready to Move,Semi-Furnished,New Property,Individual House,1000,28.72143555,77.10701752,3,2,1,2,1,9500000
Ready to Move,Semi-Furnished,New Property,Individual House,1450,28.72721291,77.09606171,4,3,1,2,1,15000000
Ready to Move,,Resale,Flat,1175,28.61607805,77.42810225,2,2,,,,4800000
Ready to Move,Semi-Furnished,Resale,Flat,1087,28.64431,77.33178711,2,2,2,1,2,5100000
,Semi-Furnished,Resale,Flat,1845,28.54692971,77.35438729,3,3,3,2,2,14000000
Ready to Move,,New Property,Flat,1400,28.449384,76.98441,2,2,2,,,6250000
Ready to Move,Unfurnished,Resale,Flat,1600,28.423049,77.08741,3,2,1,,,8700000
Ready to Move,,Resale,Individual House,1950,28.56973716,77.33241167,3,3,2,,,13000000
Ready to Move,,New Property,Flat,1800,28.529146,77.355843,2,3,1,,,15000000
Ready to Move,,Resale,Flat,1440,28.58749935,77.44316979,3,2,5,1,2,5500000
Ready to Move,,Resale,Flat,1040,28.616204,77.422256,2,2,3,2,3,4200000
Ready to Move,,Resale,Flat,1025,28.57223,77.474898,2,2,3,1,2,3900000
Ready to Move,Semi-Furnished,Resale,Individual House,1836,28.6571606,77.355748,3,2,,,,10000000
Ready to Move,,Resale,Flat,1350,28.645769,77.38511,3,2,4,1,3,7600000
Ready to Move,,Resale,Flat,800,28.387731,76.96791987,2,2,1,,2,3900000
Ready to Move,Unfurnished,Resale,Flat,1481,28.49744987,77.02709198,2,2,2,2,2,9000000
Ready to Move,,Resale,Flat,1398,28.54341218,77.367853,2,2,2,1,3,8350000
Ready to Move,,Resale,Individual House,2150,28.43520877,77.09022523,3,3,4,1,,13500000
Ready to Move,Furnished,Resale,Flat,1100,28.6467392,77.3709475,3,2,,,,5310000
,Semi-Furnished,Resale,Flat,1960,28.3907304,77.05782257,3,3,,,,15000000
Ready to Move,,New Property,Flat,2450,28.482277,76.99199526,3,3,3,2,2,17500000
Ready to Move,,Resale,Flat,1000,28.5604873,77.384084,2,2,3,1,2,5000000
Ready to Move,Furnished,Resale,Flat,850,28.55985069,77.24765015,2,2,1,,,3500000
Ready to Move,Semi-Furnished,New Property,Flat,950,28.50809,77.2314673,3,2,1,1,1,4550000
Ready to Move,Unfurnished,Resale,Flat,700,28.558586,77.2511855,2,2,,,,4000000
Ready to Move,Semi-Furnished,Resale,Flat,750,28.68956947,77.33861542,2,2,2,,0,3500000
Ready to Move,,Resale,Individual House,950,28.5905383,77.35981,2,2,1,1,1,3500000
Ready to Move,Semi-Furnished,New Property,Flat,540,28.5922718,77.0836792,2,2,1,,0,2400000
Ready to Move,,Resale,Individual House,5571,28.424904,77.03476,5,5,3,4,2,80000000
Ready to Move,Semi-Furnished,Resale,Flat,1200,28.652429,77.1643181,2,2,2,,,9500000
Ready to Move,,Resale,Flat,1020,28.3978564,77.07393158,2,2,2,,,10500000
Ready to Move,,Resale,Flat,1505,28.512136,76.986899,2,2,2,1,2,7500000
Ready to Move,Unfurnished,Resale,Flat,1232,28.65280724,77.4509201,6,3,2,,,4800000
Ready to Move,,Resale,Flat,929,28.436305,77.13605,2,2,1,,,5600000
Ready to Move,,Resale,Flat,1350,28.647938,77.340697,3,3,,,,8500000
Ready to Move,,Resale,Flat,1085,28.646509,77.38148828,2,2,2,,,4700000
Ready to Move,,Resale,Flat,1790,28.512136,76.986899,3,3,,,,8500000
Ready to Move,Semi-Furnished,New Property,Flat,1689,28.487018,76.998009,3,3,4,1,3,10000000
Ready to Move,,Resale,Flat,2411,28.391644,77.06486457,3,3,3,2,2,18000000
Ready to Move,,Resale,Flat,1650,28.6016823,77.03193279,3,2,2,2,0,12400000
Ready to Move,Unfurnished,Resale,Flat,1685,28.50920801,77.40662554,3,4,4,1,2,7700000
Ready to Move,,Resale,Flat,1050,28.648794,77.34253225,2,2,2,,,6000000
Ready to Move,,Resale,Flat,1300,28.59344,77.065951,2,2,2,2,2,12500000
Ready to Move,Semi-Furnished,New Property,Flat,1170,28.49589348,77.18599701,3,2,1,1,1,6380000
Ready to Move,Semi-Furnished,New Property,Flat,1275,28.28709602,77.06906128,2,2,2,1,2,7400000
Ready to Move,,Resale,Flat,1890,28.410466,76.962531,3,3,4,1,2,8400000
Ready to Move,,Resale,Individual House,1455,28.570142,77.386273,3,2,3,1,2,6400000
Ready to Move,,Resale,Flat,1768,28.59343183,77.04427276,3,2,,2,2,19000000
Ready to Move,,Resale,Individual House,1295,28.566914,77.436434,2,2,4,2,,4300000
Ready to Move,,Resale,Flat,3500,28.4818021,77.2200217,4,5,3,1,2,23800000
Ready to Move,,Resale,Flat,1850,28.548787,77.346032,3,4,2,2,3,10500000
Ready to Move,,Resale,Flat,1966,28.247592,77.069185,2,2,1,1,,10800000
,Furnished,Resale,Flat,1350,28.6493479,77.3696259,2,2,,,,5500000
Ready to Move,,New Property,Flat,1040,28.509118,77.413416,2,2,3,1,2,4320000
Ready to Move,Semi-Furnished,Resale,Flat,800,28.6452824,77.3621025,2,2,1,1,0,3000000
Ready to Move,,Resale,Flat,950,28.579593,77.445197,2,2,3,,3,3500000
Ready to Move,Semi-Furnished,Resale,Flat,2000,28.4178669,77.0512457,4,4,3,2,,16000000
Ready to Move,,Resale,Individual House,900,28.685449,77.5092258,2,2,3,1,2,3000000
Ready to Move,,Resale,Flat,960,28.51284137,77.48955332,2,2,1,,1,3300000
Ready to Move,,New Property,Flat,1371,28.433653,77.152919,2,2,3,2,2,8200000
Ready to Move,,Resale,Flat,1750,28.475274,77.545978,3,3,1,2,2,6000000
Ready to Move,,Resale,Flat,1299,28.519997,77.376873,3,2,4,1,2,4100000
Ready to Move,Furnished,Resale,Flat,1365,28.60595894,77.44451141,3,2,3,2,2,5200000
,Unfurnished,Resale,Flat,2800,28.4655907,77.5114027,4,5,4,,,21000000
,Unfurnished,Resale,Flat,835,28.609898,77.436343,2,2,2,1,,2650000
Ready to Move,Unfurnished,Resale,Individual House,1000,28.6677244,77.0979515,2,2,,,,10000000
Ready to Move,Semi-Furnished,Resale,Flat,1000,28.63472366,77.04911041,3,2,1,1,,4500000
Ready to Move,Unfurnished,Resale,Flat,1260,28.58548927,77.39931488,2,2,3,1,2,6900000
,Semi-Furnished,Resale,Flat,2425,28.44456311,76.9550119,4,4,,,,13500000
Ready to Move,Furnished,Resale,Flat,1198,28.63336372,77.43121338,3,2,1,,,4500000
Ready to Move,,Resale,Flat,3000,28.4969141,77.1652546,3,3,2,2,1,32500000
Ready to Move,,New Property,Individual House,1743,28.419032,77.028272,3,3,2,1,,11000000
Ready to Move,Unfurnished,Resale,Flat,650,28.59803581,77.07652283,2,2,1,,,3200000
Ready to Move,,Resale,Flat,815,28.446343,77.515305,2,2,,,,3200000
,Unfurnished,Resale,Flat,1050,28.7005505,77.3286995,2,2,,,,3400000
Ready to Move,Furnished,Resale,Flat,2100,28.46847725,77.31389618,4,3,2,,,11100000
Ready to Move,Unfurnished,Resale,Flat,900,28.6809994,77.356998,2,2,1,,,3500000
Ready to Move,,Resale,Flat,1836,28.414627,77.060127,3,3,3,2,3,12500000
Ready to Move,,Resale,Flat,1495,28.502597,77.428742,3,2,,,,8500000
Ready to Move,,Resale,Flat,1040,28.616204,77.422256,2,2,2,1,3,4200000
Ready to Move,,Resale,Flat,5495,28.43618253,77.10430584,5,6,2,3,3,82000000
Ready to Move,,Resale,Individual House,1250,28.64015875,77.0662659,2,2,2,,,9000000
Ready to Move,Semi-Furnished,Resale,Flat,2500,28.68651581,77.29942322,3,2,1,2,,14000000
Ready to Move,,Resale,Flat,1815,28.45251307,76.97627035,3,3,,,,8900000
Ready to Move,,Resale,Flat,1041,28.70183798,77.42320672,2,2,3,,,3200000
Ready to Move,,Resale,Flat,2000,28.412109,77.049522,4,4,3,2,0,15000000
Ready to Move,,Resale,Individual House,1960,28.393665,76.962842,3,3,3,123,2,9200000
Ready to Move,,Resale,Flat,1963,28.406752,76.96474017,3,3,3,2,2,11500000
Ready to Move,,Resale,Individual House,1246,28.58632879,77.40106202,2,2,3,1,2,6000000
Ready to Move,,Resale,Flat,1085,28.473679,77.506258,2,2,3,,3,3900000
Ready to Move,,Resale,Individual House,995,28.606945,77.45557857,2,2,3,,,3600000
Ready to Move,Semi-Furnished,Resale,Flat,6168,28.470149,77.535673,5,5,3,3,,49000000
,,New Property,Individual House,1260,28.3824895,76.9823169,2,2,,1,2,7500000
Ready to Move,,Resale,Individual House,1700,28.5884566,77.304787,4,3,1,1,2,18000000
Ready to Move,,Resale,Flat,2025,28.58584227,77.06062479,3,2,4,2,2,17200000
